PaperAngle,PaperStress,VMAngle,VMStress,NguygenAngle,NguyenStress,BoudardAngle,BoudardStress
,,7.923941333,180437764.8,6.133682964,143109794,6.024781621,149723841.6
,,7.964053593,180331663.7,6.173785885,143193492.5,6.064884427,149810029.2
,,8.004165795,180227118.4,6.213888805,143277191,6.104929937,149896216.9
,,8.04427794,180124439.9,6.253991725,143361511.7,6.145032743,149983026.9
,,8.084389913,180024250.7,6.294094646,143445832.5,6.185135491,150069836.8
,,8.124501829,179926239.4,6.334197509,143530464.5,6.225238239,150156646.8
,,8.164613516,179832584.2,6.374300372,143615407.5,6.265341045,150243145.6
,,8.174641423,179809248.2,6.414403235,143700350.6,6.305443794,150329955.5
,,8.184669273,179786534.5,6.454506098,143785916,6.345546599,150416143.2
,,8.199739782,179752930.7,6.494608904,143871481.4,6.385649405,150502642
,,8.222316725,179703458.3,6.53471171,143957046.7,6.425752211,150588829.7
,,8.256124788,179632205.7,6.574814573,144042300.9,6.465855017,150674706.2
,,8.296293082,179553485.6,6.61486014,144127866.3,6.505957823,150760893.9
,,8.33640391,179477254.6,6.654962946,144212809.4,6.546060628,150846770.4
,,8.376514565,179405068.5,6.695065809,144298063.6,6.586163434,150933269.2
,,8.416625048,179336616.2,6.735168672,144383006.7,6.626266183,151020079.1
,,8.45673536,179271897.7,6.775271535,144467949.8,6.666311693,151106889.1
,,8.496845557,179210290.6,6.815374455,144552892.8,6.706414441,151194010.2
,,8.536955582,179151795,6.855477318,144638147.1,6.74651719,151281442.5
,,8.577065492,179096099.8,6.895580124,144723401.3,6.786619938,151368874.7
,,8.617175288,179042893.7,6.935682987,144808966.7,6.826722686,151456929.3
,,8.657284969,178992176.7,6.97578585,144894843.2,6.866825378,151544983.8
,,8.697394593,178943326.7,7.015888656,144980719.7,6.906928069,151633038.3
,,8.737504103,178896032.4,7.055991462,145067218.5,6.947030817,151721404
,,8.777613612,178850604.9,7.09609421,145153717.3,6.987133509,151809458.6
,,8.817723007,178806422.1,7.136197016,145240216.1,7.0272362,151897513.1
,,8.857832402,178763483.8,7.176242469,145327337.2,7.067338891,151985567.7
,,8.897941739,178721790.2,7.216345217,145414458.3,7.107441639,152073622.2
,,8.938051077,178680718.8,7.256447966,145501890.6,7.147544331,152161676.8
,,8.978160414,178640580.8,7.296550714,145589011.7,7.187589783,152249731.3
,,9.018269694,178601376.3,7.336653463,145676444,7.227692474,152337785.9
,,9.058378975,178562483,7.376756211,145763565.1,7.267795166,152426151.6
,,9.098488312,178524211.9,7.41685896,145850997.3,7.307897857,152514517.2
,,9.138654888,178486252,7.456961765,145938118.4,7.348000548,152603194.1
,,9.178764168,178448603.3,7.497064514,146025550.7,7.388103239,152692182.1
,,9.218873506,178411265.6,7.537167205,146112671.8,7.428205873,152781170.1
,,9.258982843,178374239.2,7.577269953,146200104,7.468308507,152870780.3
