Time [s];RF Mag [N];Sigma [MPa];Extension [-];Paper extension [-];Paper Sigma [MPa]
0.384178;51167.1;353.3750482;0.048726568;;
0.385178;51167.9;353.3805732;0.048853505;;
0.386178;51168.7;353.3860983;0.048980378;;
0.387178;51169.4;353.3909327;0.049107315;;
0.388178;51170.1;353.3957671;0.049234252;;
0.389178;51170.8;353.4006015;0.049361189;;
0.390178;51171.4;353.4047453;0.049488125;;
0.391178;51172;353.408889;0.049615062;;
0.392178;51172.6;353.4130328;0.049741935;;
0.393178;51173.1;353.416486;0.049868872;;
0.394178;51173.7;353.4206297;0.049995809;;
0.395178;51174.1;353.4233923;0.050122746;;
0.396178;51174.6;353.4268454;0.050249682;;
0.397178;51175;353.4296079;0.050376619;;
0.398178;51175.4;353.4323704;0.050503556;;
0.399178;51175.8;353.435133;0.050630429;;
0.400178;51176.1;353.4372048;0.050757366;;
0.401178;51176.4;353.4392767;0.050884303;;
0.402178;51176.7;353.4413486;0.05101124;;
0.403178;51176.9;353.4427299;0.051138176;;
0.404178;51177.1;353.4441111;0.051265113;;
0.405178;51177.3;353.4454924;0.05139205;;
0.406178;51177.4;353.446183;0.051518923;;
0.407178;51177.6;353.4475643;0.05164586;;
0.408178;51177.7;353.4482549;0.051772797;;
0.409178;51177.7;353.4482549;0.051899733;;
0.410178;51177.8;353.4489455;0.05202667;;
0.411178;51177.8;353.4489455;0.052153607;;
0.412178;51177.7;353.4482549;0.052280544;;
0.413178;51177.7;353.4482549;0.05240748;;
0.414178;51177.6;353.4475643;0.052534417;;
0.415178;51177.5;353.4468737;0.052661354;;
0.416178;51177.4;353.446183;0.052788291;;
0.417178;51177.2;353.4448018;0.052915164;;
0.418178;51177;353.4434205;0.053042101;;
0.419178;51176.8;353.4420393;0.053169037;;
0.420178;51176.5;353.4399674;0.053295974;;
0.421178;51176.2;353.4378955;0.053422911;;
0.422178;51175.9;353.4358236;0.053549848;;
0.423178;51175.6;353.4337517;0.053676784;;
0.424178;51175.2;353.4309892;0.053803721;;
0.425178;51174.8;353.4282267;0.053930658;;
0.426178;51174.4;353.4254641;0.054057595;;
0.427178;51173.9;353.422011;0.054184531;;
0.428178;51173.4;353.4185578;0.054311468;;
0.429178;51172.9;353.4151047;0.054438405;;
0.430178;51172.4;353.4116516;0.054565342;;
0.431178;51171.8;353.4075078;0.054692278;;
0.432178;51171.2;353.403364;0.054819215;;
0.433178;51170.6;353.3992202;0.054946152;;
0.434178;51170;353.3950764;0.055073089;;
0.435178;51169.3;353.390242;0.055200025;;
0.436178;51168.6;353.3854076;0.055326962;;
0.437178;51167.9;353.3805732;0.055453835;;
0.438178;51167.2;353.3757388;0.055580836;;
0.439178;51166.4;353.3702138;0.055707709;;
0.440178;51165.6;353.3646888;0.055834646;;
0.441178;51164.8;353.3591637;0.055961582;;
0.442178;51164;353.3536387;0.056088519;;
0.443178;51163.1;353.347423;0.056215456;;
0.444178;51162.2;353.3412074;0.056342393;;
0.445178;51161.3;353.3349917;0.056469329;;
0.446178;51160.4;353.328776;0.056596266;;
0.447178;51159.4;353.3218697;0.056723203;;
0.448178;51158.5;353.3156541;0.05685014;;
0.449178;51157.5;353.3087478;0.056977076;;
0.450178;51156.4;353.3011508;0.057104013;;
0.451178;51155.4;353.2942446;0.05723095;;
0.452178;51154.3;353.2866476;0.057357887;;
0.453178;51153.2;353.2790507;0.057484887;;
0.454178;51152.1;353.2714538;0.057611824;;
0.455178;51151;353.2638569;0.05773876;;
0.456178;51149.8;353.2555693;0.057865697;;
0.457178;51148.6;353.2472818;0.057992634;;
0.458178;51147.4;353.2389942;0.058119571;;
0.459178;51146.2;353.2307066;0.058246507;;
0.460178;51145;353.2224191;0.058373444;;
0.461178;51143.7;353.2134409;0.058500381;;
0.462178;51142.4;353.2044627;0.058627318;;
0.463178;51141.1;353.1954845;0.058754255;;
0.464178;51139.7;353.1858157;0.058881191;;
0.465178;51138.3;353.1761469;0.059008128;;
0.466178;51137;353.1671687;0.059135065;;
0.467178;51135.6;353.1574999;0.059262002;;
0.468178;51134.1;353.1471405;0.059388938;;
0.469178;51132.7;353.1374717;0.059515875;;
0.470178;51131.2;353.1271122;0.059642812;;
0.471178;51129.7;353.1167528;0.059769749;;
0.472178;51128.1;353.1057027;0.059896685;;
0.473178;51126.6;353.0953433;0.060023622;;
0.474178;51125;353.0842932;0.060150559;;
0.475178;51123.4;353.0732431;0.060277496;;
0.476178;51121.8;353.0621931;0.060404496;;
0.477178;51120.2;353.051143;0.060531433;;
0.478178;51118.6;353.0400929;0.060658369;;
0.479178;51116.9;353.0283522;0.060785306;;
0.480178;51115.2;353.0166115;0.060912243;;
0.481178;51113.5;353.0048708;0.06103918;;
0.482178;51111.7;352.9924395;0.061166116;;
0.483178;51110;352.9806988;0.061293053;;
0.484178;51108.2;352.9682675;0.06141999;;
0.485178;51106.4;352.9558361;0.061546927;;
0.486178;51104.6;352.9434048;0.061673863;;
0.487178;51102.8;352.9309735;0.0618008;;
0.488178;51100.9;352.9178515;0.061927737;;
0.489178;51099.1;352.9054202;0.062054674;;
0.490178;51097.2;352.8922982;0.062181674;;
0.491178;51095.3;352.8791763;0.062308611;;
0.492178;51093.4;352.8660543;0.062435547;;
0.493178;51091.4;352.8522417;0.062562484;;
0.494178;51089.5;352.8391198;0.062689421;;
0.495178;51087.5;352.8253072;0.062816358;;
0.496178;51085.5;352.8114946;0.062943294;;
0.497178;51083.5;352.797682;0.063070231;;
0.498178;51081.4;352.7831788;0.063197168;;
0.499178;51079.4;352.7693662;0.063324168;;
0.500178;51077.3;352.754863;0.063451105;;
0.501178;51075.2;352.7403598;0.063578232;;
0.502178;51073.1;352.7258565;0.063705232;;
0.503178;51070.9;352.7106627;0.063831598;;
0.504178;51068.8;352.6961595;0.063958598;;
0.505178;51066.6;352.6809656;0.064085598;;
0.506178;51064.4;352.6657718;0.064212598;;
0.507178;51062.2;352.6505779;0.064339599;;
0.508178;51060;352.6353841;0.064466599;;
0.509178;51057.8;352.6201902;0.064593599;;
0.510178;51055.5;352.6043058;0.064720599;;
0.511178;51053.2;352.5884213;0.0648476;;
0.512178;51050.9;352.5725368;0.0649746;;
0.513178;51048.6;352.5566523;0.0651016;;
0.514178;51046.2;352.5400772;0.0652286;;
0.515178;51043.9;352.5241927;0.065354966;;
0.516178;51041.5;352.5076176;0.065481966;;
0.517178;51039.1;352.4910425;0.065608966;;
0.518178;51036.6;352.4737768;0.065735966;;
0.519178;51034.1;352.4565111;0.065862967;;
0.520178;51031.6;352.4392453;0.065989967;;
0.521178;51029;352.421289;0.066116967;;
0.522178;51026.3;352.402642;0.066243967;;
0.523178;51023.6;352.383995;0.066370968;;
0.524178;51020.9;352.365348;0.066497968;;
0.525178;51018.1;352.3460104;0.066624968;;
0.526178;51015.3;352.3266727;0.066751969;;
0.527178;51012.4;352.3066445;0.066878334;;
0.528178;51009.4;352.2859256;0.067005334;;
0.529178;51006.4;352.2652067;0.067132334;;
0.530178;51003.3;352.2437972;0.067259335;;
0.531178;51000.3;352.2230783;0.067386335;;
0.532178;50997.1;352.2009782;0.067513335;;
0.533178;50994;352.1795687;0.067640335;;
0.534178;50990.8;352.1574685;0.067767336;;
0.535178;50987.6;352.1353684;0.067894336;;
0.536178;50984.3;352.1125776;0.068021336;;
0.537178;50981;352.0897868;0.068148336;;
0.538178;50977.7;352.0669961;0.068275337;;
0.539178;50974.3;352.0435147;0.068401702;;
0.540178;50970.9;352.0200333;0.068528702;;
0.541178;50967.4;351.9958612;0.068655702;;
0.542178;50963.9;351.9716892;0.068782703;;
0.543178;50960.3;351.9468265;0.068909703;;
0.544178;50956.7;351.9219639;0.069036703;;
0.545178;50953.1;351.8971012;0.069163703;;
0.546178;50949.4;351.8715479;0.069290704;;
0.547178;50945.7;351.8459947;0.069417704;;
0.548178;50942;351.8204414;0.069544704;;
0.549178;50938.2;351.7941974;0.069671704;;
0.550178;50934.3;351.7672629;0.069798705;;
0.551178;50930.4;351.7403283;0.06992507;;
0.552178;50926.5;351.7133938;0.07005207;;
0.553178;50922.6;351.6864593;0.07017907;;
0.554178;50918.5;351.6581434;0.070306071;;
0.555178;50914.5;351.6305183;0.070433071;;
0.556178;50910.4;351.6022025;0.070560071;;
0.557178;50906.2;351.573196;0.070687071;;
